name,city,cuisine,price_range,rating,address
"Taylor, Soto and Joseph",Singapore,Indian,$,4.0,"2854 Kimberly Stravenue, Justinside, WY 94488"
Kent-Miller,Tokyo,Italian,$,4.4,"5964 Michelle Burg Suite 196, Jamesmouth, MD 90780"
"Mueller, Perkins and Velazquez",Berlin,Japanese,$$$,4.1,"USNV Miles, FPO AA 63608"
"Hicks, Rodriguez and Mayer",Tokyo,French,$$,4.6,"7024 Hardy Port Suite 722, Torresfurt, WI 09624"
Brown-Velez,New York,French,$$,4.6,"Unit 5898 Box 5929, DPO AP 06193"
Walker PLC,Gothenburg,French,$$$,4.5,"34003 Jones Hill, Jamesmouth, WY 40012"
Barnes Ltd,Paris,Japanese,$$,4.2,"658 Parsons Mills Apt. 996, Cookville, ME 69892"
Hunt LLC,Tokyo,French,$$$,3.2,"3221 Murphy Trafficway, Port Ryan, SD 10535"
Brown LLC,Gothenburg,French,$,3.2,"8430 Jeffrey Mountain, Jasonfurt, VA 18925"
"Jordan, Jensen and Brown",Singapore,Japanese,$$$,4.0,"836 Alyssa Spring, New Katiebury, KS 24346"
"Lopez, Crawford and White",Singapore,Mexican,$$$,4.4,"8341 Strickland Square, Amandabury, MO 48976"
Rogers LLC,Berlin,French,$,4.0,"87222 Lin Plains Suite 656, Port Calvinfurt, UT 63986"
Cox LLC,Tokyo,Indian,$$,5.0,"35290 Nathan Motorway, Greenland, NE 88458"
Hoover PLC,New York,Indian,$$,3.6,"176 Tiffany Course, Murrayburgh, WV 00674"
Cobb and Sons,Tokyo,Indian,$,3.4,"54260 Adrian Light Apt. 022, Melindaville, NV 73371"
Garcia PLC,Gothenburg,French,$$,3.4,"9650 James Square, Emilyton, VA 34939"
Rivers-Hancock,London,French,$$,3.9,"7381 Elizabeth Turnpike Suite 628, West Bianca, MD 76379"
"Daniel, Schroeder and Greene",Gothenburg,Mexican,$,4.4,"32769 Burns Prairie, Huffburgh, FM 53815"
"Cordova, Duarte and Tucker",Paris,Japanese,$,3.1,"1776 Shelton Cliff Suite 897, Lake Georgeborough, KS 27166"
Nunez-Williams,Gothenburg,Mexican,$$,3.0,"44159 Ray Fork Apt. 826, South Mark, AR 35089"
"Hamilton, Martinez and Hendricks",Singapore,French,$$$,5.0,"727 Maria View Suite 660, Warrenchester, KY 71030"
Decker-Tyler,Berlin,Indian,$,4.3,"006 Andrew Courts Suite 767, Port Suzannechester, NM 14457"
Lucas-Garcia,Singapore,French,$$,3.3,"89476 Jeffery Haven Apt. 929, North Tracey, WA 60332"
Rios-Colon,Tokyo,Mexican,$$$,4.0,"754 Allen Loop, South Steven, DE 69919"
Smith-Davis,New York,French,$$$,3.5,"95545 Matthew Shore Suite 931, Bryanchester, NE 42234"
Terry LLC,Tokyo,Japanese,$$,3.3,"67915 Sanchez Extensions Apt. 591, East Ryan, MO 92215"
"Osborne, Ashley and Gomez",Gothenburg,Italian,$,3.9,"411 Robert Causeway Suite 715, Christineburgh, CO 98783"
Frank-Wyatt,Tokyo,Japanese,$,3.9,"57235 Michelle Court Apt. 006, North Brittanyfort, MO 61711"
Michael Inc,Berlin,Mexican,$$,3.2,"17197 Christopher Union, North Alexishaven, MD 41535"
Rodriguez Ltd,Paris,Mexican,$$,3.7,"814 Derek Loop, North Brenda, MO 94795"
Garcia-Lambert,London,Mexican,$$,4.7,"608 Mark Well, Port Rhondatown, MH 49988"
"Abbott, Barnes and Brock",London,Mexican,$$$,4.7,"3231 Steven Square Suite 569, Lake Timothyside, OR 14559"
"Barker, Prince and Rodriguez",Berlin,French,$$$,3.1,"20011 Garcia Keys, Port Tina, WA 46632"
"Williams, Cain and Taylor",Paris,French,$$,4.4,"03265 Rebecca Camp, Lake Philip, NC 97227"
Greer Inc,Gothenburg,French,$,4.6,"28436 Amanda Fords, South Patrickport, NM 57576"
Murray Inc,New York,French,$$$,3.5,"74150 Joe Plains Apt. 467, North Marcus, VA 28506"
Johnson-Costa,Singapore,Indian,$$,3.5,"46593 Anderson Shores Apt. 599, West Lisafort, IA 71074"
"Wright, Payne and Sanders",Tokyo,French,$$,3.3,"399 Rivera Lakes Apt. 095, New Bryan, PR 38018"
Jones-Mendoza,New York,Italian,$$,3.7,"0327 Richard Islands Apt. 821, Jacobburgh, FL 39196"
"Ball, Mayer and Gates",Gothenburg,Italian,$,4.4,"9459 Williams Underpass Apt. 677, Dawnside, MP 43516"
"Riley, Kirby and Mcdaniel",New York,Mexican,$,4.8,"92061 Daniel Drives, West Kimberly, NV 86773"
"Hall, Cooper and Perez",London,Italian,$$,3.3,"7055 Timothy Neck, Baxterton, NY 81631"
"Williams, Love and Meyers",London,French,$,3.3,"9663 Freeman Mill Suite 801, East Elizabethburgh, ID 07958"
Young PLC,Paris,Japanese,$,3.2,"PSC 8971, Box 8039, APO AA 76969"
"Avery, Turner and Jones",Singapore,Italian,$$,3.5,"490 Bruce Corners, South Robertshire, AR 17246"
"Thompson, Prince and Montes",Singapore,Japanese,$$,3.2,"USNS Allen, FPO AP 62394"
Stanley-Washington,Singapore,Indian,$$,3.6,"PSC 0175, Box 3738, APO AE 50270"
Smith-Ross,New York,Italian,$$,4.1,"35649 Gilbert Trail Suite 456, Denisefurt, NY 28897"
Edwards Ltd,London,Japanese,$$$,3.3,"702 Bowman Walks, Robinsonhaven, PR 78202"
Matthews-Nelson,London,Japanese,$,3.9,"1079 Gill Hill Apt. 397, Simpsonborough, IL 12690"
